"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify When Remove item From Cart count Of Cart Icon decrease","6272","E2eScenario_Valid_RemoveProductFromCartSc","E2e_Scenarios","Mon May 05 00:25:17 EEST 2025","passed","Mon May 05 00:25:24 EEST 2025","Tests.E2E.E2e_Sc","E2e_UserFlow","Tests.E2E.E2e_Sc","E2eScenario_Valid_RemoveProductFromCartSc"
"Verify All buttons are Reset to 'ADD TO CART' state after Clicking On Reset App State","2","E2eScenario_inValidResetAppState","E2e_Scenarios","Mon May 05 00:25:10 EEST 2025","unknown","Mon May 05 00:25:10 EEST 2025","Tests.E2E.E2e_Sc","E2e_UserFlow","Tests.E2E.E2e_Sc","E2eScenario_inValidResetAppState"
"","3153","invalidCheckOutInformation_WithEmptyLNameTC","E2e_Scenarios","Mon May 05 00:25:51 EEST 2025","passed","Mon May 05 00:25:54 EEST 2025","Tests.E2E.E2e_Sc","E2e_UserFlow","Tests.E2E.E2e_Sc","invalidCheckOutInformation_WithEmptyLNameTC"
"Verify When User Click On LogOut Redirect to Login Page","3072","E2eScenario_valid_LogoutSc","E2e_Scenarios","Mon May 05 00:25:40 EEST 2025","passed","Mon May 05 00:25:43 EEST 2025","Tests.E2E.E2e_Sc","E2e_UserFlow","Tests.E2E.E2e_Sc","E2eScenario_valid_LogoutSc"
"Valid E2e Scenario for User Journey","3789","valid_FullE2eScenario","E2e_Scenarios","Mon May 05 00:26:05 EEST 2025","passed","Mon May 05 00:26:09 EEST 2025","Tests.E2E.E2e_Sc","E2e_UserFlow","Tests.E2E.E2e_Sc","valid_FullE2eScenario"
"","3590","invalidCheckOutInformation_WithEmptyFNameTC","E2e_Scenarios","Mon May 05 00:25:45 EEST 2025","passed","Mon May 05 00:25:49 EEST 2025","Tests.E2E.E2e_Sc","E2e_UserFlow","Tests.E2E.E2e_Sc","invalidCheckOutInformation_WithEmptyFNameTC"
"Verify When User Add product From ProductPageDetails","0","E2eScenario_invalid_AddingProductFromProductPageDetails","E2e_Scenarios","Mon May 05 00:25:10 EEST 2025","unknown","Mon May 05 00:25:10 EEST 2025","Tests.E2E.E2e_Sc","E2e_UserFlow","Tests.E2E.E2e_Sc","E2eScenario_invalid_AddingProductFromProductPageDetails"
"","5757","invalidCheckOutInformation_WithEmptyPosalCodeTC","E2e_Scenarios","Mon May 05 00:25:56 EEST 2025","passed","Mon May 05 00:26:02 EEST 2025","Tests.E2E.E2e_Sc","E2e_UserFlow","Tests.E2E.E2e_Sc","invalidCheckOutInformation_WithEmptyPosalCodeTC"
"Verify CheckOut Order WithOut Products In Cart","3106","E2eScenario_valid_CheckOrderWithEmptyCart","E2e_Scenarios","Mon May 05 00:25:34 EEST 2025","passed","Mon May 05 00:25:38 EEST 2025","Tests.E2E.E2e_Sc","E2e_UserFlow","Tests.E2E.E2e_Sc","E2eScenario_valid_CheckOrderWithEmptyCart"
"Verify that User can Continue Shopping After Add Products in the Cart","5173","E2eScenario_VerifyContinueShopping","E2e_Scenarios","Mon May 05 00:25:27 EEST 2025","passed","Mon May 05 00:25:32 EEST 2025","Tests.E2E.E2e_Sc","E2e_UserFlow","Tests.E2E.E2e_Sc","E2eScenario_VerifyContinueShopping"
